OBJECTID,pnd_id,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,reg_entiteit,reg_aard,reg_opnamedatum,reg_status,SHAPE_Length,SHAPE_Area
75671,43459,MORCKHOVENLEI,2,,,T,Borgerhout,2140,gelijkvloers,gebouw,2025/05/26 00:00:00+00,opname,91.5126694083488,538.686483777974
75672,46177,GASSTRAAT,156,,,A,Antwerpen,2060,volledig pand,woning,2025/06/03 00:00:00+00,opname,51.6474648435529,98.8063035579551
75673,35268,PIETER VAN HOBOKENSTRAAT,25,,,A,Antwerpen,2000,gelijkvloers,gebouw,2022/05/10 00:00:00+00,opname,27.1720827769792,44.9397255823968
75674,28141,GITSCHOTELLEI,152,,,R,Berchem,2600,handelsgelijkvloers P0004,gebouw,2017/12/19 00:00:00+00,opname,62.8729057592265,145.135703177724
75675,29669,HOPLAND,67,,,A,Antwerpen,2000,2e verdieping,woning,2018/12/13 00:00:00+00,aanvraagschrapping,33.0493068028776,68.4611254565568
75676,29159,DORPSTRAAT,28,,,Z,Bezali,2040,volledig pand,woning,2024/06/10 00:00:00+00,opname,133.823193413781,615.746416675406
75677,28884,OUDEMANSSTRAAT,22,,,A,Antwerpen,2000,handelsgelijkvloers,gebouw,2018/06/20 00:00:00+00,opname,49.3709310523845,100.148903127166
75678,39562,BREDABAAN,479,481,,M,Merksem,2170,gelijkvloers,gebouw,2024/06/17 00:00:00+00,aanvraagschrapping,107.353142391214,426.435080482775
75679,27866,BERENDRECHTSVOETPAD,35,1,,Z,Bezali,2040,nvt,woning,2017/12/12 00:00:00+00,opname,85.6255733751681,262.018299346047
75680,40790,CORNEEL SMITSLEI,7,,,K,Borsbeek,2150,volledig pand,woning,2023/03/02 00:00:00+00,opname,90.7663468193752,320.104343686558
75681,40794,ADRINKHOVENLAAN,36,,2,K,Borsbeek,2150,2de verdieping?,woning,2024/04/29 00:00:00+00,opname,66.2920835518027,170.854794684635
75682,31647,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,gelijkvloers links,gebouw,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75683,31649,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,1ste verdiep,gebouw,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75684,31650,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,2de verdiep,gebouw,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75685,31651,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,3de verdiep (links),woning,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75686,31652,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,3de verdiep (rechts),woning,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75687,31653,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,4de verdiep (links),woning,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75688,31654,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,4de verdiep (rechts),woning,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75689,31655,SINT-ALDEGONDISKAAI,18,,,A,Antwerpen,2000,5de verdiep,woning,2020/02/12 00:00:00+00,opname,84.1942168299283,359.456496059927
75690,19359,BREDABAAN,364,366,,M,Merksem,2170,Verdieping 1+2,woning,2012/10/09 00:00:00+00,aanvraagschrapping,90.5617318100689,343.681838558622
75691,36628,BREDABAAN,364,366,,M,Merksem,2170,gelijkvloers,gebouw,2023/06/21 00:00:00+00,aanvraagschrapping,90.5617318100689,343.681838558622
75692,29607,MINDERBROEDERSRUI,8,,,A,Antwerpen,2000,handelsgelijkvloers,gebouw,2018/11/28 00:00:00+00,opname,31.2781099243849,55.9456935289661
75693,22073,KORTE BREMSTRAAT,18,,,M,Merksem,2170,nvt,woning,2014/06/23 00:00:00+00,opname,80.1217469168558,192.087728660885
75694,29059,VONDELSTRAAT,10,14,,A,Antwerpen,2060,Handelsgelijkvloers,gebouw,2018/08/03 00:00:00+00,opname,81.1739102895003,329.184985058266
75695,29060,VONDELSTRAAT,10,14,,A,Antwerpen,2060,Verdieping 1 + 2,woning,2018/08/03 00:00:00+00,aanvraagschrapping,81.1739102895003,329.184985058266
75696,40825,FRANS BEIRENSLAAN,167,,2,K,Borsbeek,2150,2de verdieping,woning,2024/04/29 00:00:00+00,aanvraagschrapping,95.6401932653747,263.181549266853
75697,40830,FRANS BEIRENSLAAN,56,,,K,Borsbeek,2150,volledig pand,woning,2022/03/03 00:00:00+00,aanvraagschrapping,82.7959351176906,196.571255061561
75698,33417,JOZEF DE BOMSTRAAT,25,,,A,Antwerpen,2018,volledig pand,woning,2021/05/04 00:00:00+00,opname,42.0247224616798,80.1556330795619
75699,32738,PROVINCIESTRAAT,163,,,A,Antwerpen,2018,gelijkvloers,gebouw,2020/11/03 00:00:00+00,opname,106.69136882785,329.169856298468
75700,35206,OUDELEEUWENRUI,46,48,,A,Antwerpen,2000,1ste verdieping,gebouw,2022/04/27 00:00:00+00,opname,78.2759257671034,339.620596738083
75701,36079,BLANCEFLOERLAAN,335,,,A,Antwerpen,2050,gelijkvloers,gebouw,2023/05/16 00:00:00+00,opname,346.462084307236,6511.52195270356
75702,36689,JULES MORETUSLEI,128,,,W,Wilrijk,2610,volledig pand,woning,2023/08/23 00:00:00+00,opname,201.225507915495,1378.66627776395
75703,35672,LODEWIJK VAN BERCKENLAAN,66,,,R,Berchem,2600,gelijkvloers,woning,2022/08/12 00:00:00+00,aanvraagschrapping,82.6450964207739,217.414446922528
75704,35673,LODEWIJK VAN BERCKENLAAN,66,,,R,Berchem,2600,1ste verdieping,woning,2022/08/12 00:00:00+00,aanvraagschrapping,82.6450964207739,217.414446922528
75705,35674,LODEWIJK VAN BERCKENLAAN,66,,,R,Berchem,2600,2de verdieping,woning,2022/08/12 00:00:00+00,aanvraagschrapping,82.6450964207739,217.414446922528
75706,36632,CLARA SNELLINGSSTRAAT,63,,,D,Deurne,2100,volledig pand,woning,2023/06/22 00:00:00+00,opname,52.043358245796,105.097999310617
75707,34278,OUDEMANSSTRAAT,25,,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/11/08 00:00:00+00,opname,46.6135643681361,93.6057363450447
75708,34279,OUDEMANSSTRAAT,25,,,A,Antwerpen,2000,1ste verdieping,woning,2021/11/08 00:00:00+00,opname,46.6135643681361,93.6057363450447
75709,34280,OUDEMANSSTRAAT,25,,,A,Antwerpen,2000,2de verdieping,woning,2021/11/08 00:00:00+00,opname,46.6135643681361,93.6057363450447
75710,34281,OUDEMANSSTRAAT,25,,,A,Antwerpen,2000,3de verdieping,woning,2021/11/08 00:00:00+00,opname,46.6135643681361,93.6057363450447
75711,35295,CONSTANT JORDAENSLAAN,4,,,E,Ekeren,2180,volledig pand,woning,2022/05/16 00:00:00+00,opname,73.0979595106327,154.431404202394
75712,28440,SCHELDESTRAAT,26,,401,A,Antwerpen,2000,duplex 4+5de verdieping,woning,2022/03/09 00:00:00+00,opname,86.7686097880759,396.562694229198
75713,28423,COGELS-OSYLEI,9,,,R,Berchem,2600,nvt,woning,2018/03/14 00:00:00+00,opname,78.7647961256108,175.590748080867
75714,33210,GITSCHOTELLEI,140,,,R,Berchem,2600,eengezinswoning,woning,2021/03/22 00:00:00+00,opname,96.165489264646,297.092205285628
75715,35624,KORTE LEEMSTRAAT,35,,,A,Antwerpen,2018,volledig pand,woning,2022/08/03 00:00:00+00,opname,66.0711761568021,138.302764479611
75716,35837,LANGE LOBROEKSTRAAT,210,,,A,Antwerpen,2060,gelijkvloers,gebouw,2022/09/14 00:00:00+00,opname,102.148016439926,391.5049212051
75717,52692,FLORIS PRIMSSTRAAT,3,101,,A,Antwerpen,2020,1e verdieping,woning,2026/01/29 00:00:00+00,kennisgeving,74.8205714407224,211.995661917125
75718,52693,FLORIS PRIMSSTRAAT,3,201,,A,Antwerpen,2020,2e verdieping,woning,2026/01/29 00:00:00+00,kennisgeving,74.8205714407224,211.995661917125
75719,34791,NATIONALESTRAAT,137,,,A,Antwerpen,2000,gelijkvloers,gebouw,2022/03/01 00:00:00+00,opname,74.6132127193831,172.641336376684
75720,34029,LODEWIJK VAN BERCKENLAAN,68,,,R,Berchem,2600,volledig pand,woning,2021/08/12 00:00:00+00,opname,82.2875120413865,206.989105627778
75721,33430,BREDABAAN,53,,,M,Merksem,2170,volledig pand,woning,2021/05/10 00:00:00+00,aanvraagschrapping,58.9254200495642,98.5444373006972
75722,30543,STIJFSELSTRAAT,28,30,,A,Antwerpen,2000,verdieping 1,woning,2019/06/28 00:00:00+00,opname,39.5507210843973,94.6127159051489
75723,30599,STIJFSELSTRAAT,28,30,,A,Antwerpen,2000,verdieping 2,woning,2019/06/28 00:00:00+00,opname,39.5507210843973,94.6127159051489
