adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig
"Belgiëlei 68 bus 8, 2018 Antwerpen",BELGIËLEI,68,,8,A,Antwerpen,2018,1,1,75005,22454,A3/2,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2019/02/07 00:00:00+00,2019/02/07 00:00:00+00,2019/02/07 00:00:00+00,43.7700998227128,109.515351203968,,"75005,22454,BELGIËLEI,68,,8,A,Antwerpen,2018,A3/2,woning,2019/02/07 00:00:00+00,aanvraagschrapping,43.7700998227128,109.515351203968"
"Belgiëlei 7 bus 101, 2018 Antwerpen",BELGIËLEI,7,,101,A,Antwerpen,2018,1,1,75251,32166,1E VERDIEPING LINKS,woning,woning:1,opname,opname:1,2022/06/22 00:00:00+00,2022/06/22 00:00:00+00,2022/06/22 00:00:00+00,131.606638006451,857.295562085754,,"75251,32166,BELGIËLEI,7,,101,A,Antwerpen,2018,1E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754"
"Belgiëlei 7 bus 201, 2018 Antwerpen",BELGIËLEI,7,,201,A,Antwerpen,2018,1,1,75252,32167,2E VERDIEPING LINKS,woning,woning:1,opname,opname:1,2022/06/22 00:00:00+00,2022/06/22 00:00:00+00,2022/06/22 00:00:00+00,131.606638006451,857.295562085754,,"75252,32167,BELGIËLEI,7,,201,A,Antwerpen,2018,2E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754"
"Belgiëlei 7 bus 601, 2018 Antwerpen",BELGIËLEI,7,,601,A,Antwerpen,2018,1,1,75253,32887,6e verdieping links,woning,woning:1,opname,opname:1,2021/05/04 00:00:00+00,2021/05/04 00:00:00+00,2021/05/04 00:00:00+00,131.606638006451,857.295562085754,,"75253,32887,BELGIËLEI,7,,601,A,Antwerpen,2018,6e verdieping links,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754"
"Belgiëlei 7 bus 602, 2018 Antwerpen",BELGIËLEI,7,,602,A,Antwerpen,2018,1,1,75254,32888,6e verdieping rechts,woning,woning:1,opname,opname:1,2021/05/04 00:00:00+00,2021/05/04 00:00:00+00,2021/05/04 00:00:00+00,131.606638006451,857.295562085754,,"75254,32888,BELGIËLEI,7,,602,A,Antwerpen,2018,6e verdieping rechts,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754"
"Belgiëlei 85, 2018 Antwerpen",BELGIËLEI,85,,,A,Antwerpen,2018,1,1,75281,27057,gelijkvloers,gebouw,gebouw:1,aanvraagschrapping,aanvraagschrapping:1,2019/02/27 00:00:00+00,2019/02/27 00:00:00+00,2019/02/27 00:00:00+00,68.2144804588922,119.492822132366,,"75281,27057,BELGIËLEI,85,,,A,Antwerpen,2018,gelijkvloers,gebouw,2019/02/27 00:00:00+00,aanvraagschrapping,68.2144804588922,119.492822132366"
"Bexstraat 1, 2018 Antwerpen",BEXSTRAAT,1,,,A,Antwerpen,2018,4,4,75084 | 75085 | 75086 | 75087,27823 | 28061 | 28062 | 28063,kantoor gelijkvloers | 1ste verdiep | 2de verdiep | 3de verdiep,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2017/12/08 00:00:00+00,2017/12/08 00:00:00+00,2017/12/08 00:00:00+00,74.2869146170556,253.160451954744,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75084,27823,BEXSTRAAT,1,,,A,Antwerpen,2018,kantoor gelijkvloers,gebouw,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75085,28061,BEXSTRAAT,1,,,A,Antwerpen,2018,1ste verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75086,28062,BEXSTRAAT,1,,,A,Antwerpen,2018,2de verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75087,28063,BEXSTRAAT,1,,,A,Antwerpen,2018,3de verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744"
"Bleekhofstraat 2, 2018 Antwerpen",BLEEKHOFSTRAAT,2,,,A,Antwerpen,2018,1,1,75578,31405,1ste+2de verdieping,woning,woning:1,opname,opname:1,2020/07/30 00:00:00+00,2020/07/30 00:00:00+00,2020/07/30 00:00:00+00,35.6004885160185,65.4931442344631,,"75578,31405,BLEEKHOFSTRAAT,2,,,A,Antwerpen,2018,1ste+2de verdieping,woning,2020/07/30 00:00:00+00,opname,35.6004885160185,65.4931442344631"
"Bolwerkstraat 3, 2018 Antwerpen",BOLWERKSTRAAT,3,,,A,Antwerpen,2018,1,1,74890,43408,volledig pand,woning,woning:1,opname,opname:1,2025/04/16 00:00:00+00,2025/04/16 00:00:00+00,2025/04/16 00:00:00+00,36.5833846918852,72.3489638419581,,"74890,43408,BOLWERKSTRAAT,3,,,A,Antwerpen,2018,volledig pand,woning,2025/04/16 00:00:00+00,opname,36.5833846918852,72.3489638419581"
"Bosmanslei 33, 2018 Antwerpen",BOSMANSLEI,33,,,A,Antwerpen,2018,1,1,75766,52650,volledig pand,woning,woning:1,kennisgeving,kennisgeving:1,2026/02/02 00:00:00+00,2026/02/02 00:00:00+00,2026/02/02 00:00:00+00,72.7750626008189,285.209836165074,,"75766,52650,BOSMANSLEI,33,,,A,Antwerpen,2018,volledig pand,woning,2026/02/02 00:00:00+00,kennisgeving,72.7750626008189,285.209836165074"
"Brederodestraat 131, 2018 Antwerpen",BREDERODESTRAAT,131,,,A,Antwerpen,2018,1,1,75077,29722,Handelsgelijkvloers,gebouw,gebouw:1,opname,opname:1,2019/04/04 00:00:00+00,2019/04/04 00:00:00+00,2019/04/04 00:00:00+00,53.5027398383995,124.122351332709,,"75077,29722,BREDERODESTRAAT,131,,,A,Antwerpen,2018,Handelsgelijkvloers,gebouw,2019/04/04 00:00:00+00,opname,53.5027398383995,124.122351332709"
"Brederodestraat 170, 2018 Antwerpen",BREDERODESTRAAT,170,,,A,Antwerpen,2018,1,1,75569,34148,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/09/15 00:00:00+00,2021/09/15 00:00:00+00,2021/09/15 00:00:00+00,38.6365462980969,82.2606221911585,,"75569,34148,BREDERODESTRAAT,170,,,A,Antwerpen,2018,gelijkvloers,gebouw,2021/09/15 00:00:00+00,opname,38.6365462980969,82.2606221911585"
"Brederodestraat 174, 2018 Antwerpen",BREDERODESTRAAT,174,,,A,Antwerpen,2018,1,1,75204,23842,Handelsgelijkvloers,gebouw,gebouw:1,opname,opname:1,2015/11/02 00:00:00+00,2015/11/02 00:00:00+00,2015/11/02 00:00:00+00,53.549612107741,173.498029763944,,"75204,23842,BREDERODESTRAAT,174,,,A,Antwerpen,2018,Handelsgelijkvloers,gebouw,2015/11/02 00:00:00+00,opname,53.549612107741,173.498029763944"
"Brederodestraat 184 bus 254, 2018 Antwerpen",BREDERODESTRAAT,184,,254,A,Antwerpen,2018,1,1,75174,36702,1V/ app 1N,woning,woning:1,opname,opname:1,2023/07/17 00:00:00+00,2023/07/17 00:00:00+00,2023/07/17 00:00:00+00,603.056217241081,6536.71948789072,,"75174,36702,BREDERODESTRAAT,184,,254,A,Antwerpen,2018,1V/ app 1N,woning,2023/07/17 00:00:00+00,opname,603.056217241081,6536.71948789072"
"Brederodestraat 41, 2018 Antwerpen",BREDERODESTRAAT,41,,,A,Antwerpen,2018,1,1,74987,34157,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/09/21 00:00:00+00,2021/09/21 00:00:00+00,2021/09/21 00:00:00+00,37.1474944638693,75.6890915809457,,"74987,34157,BREDERODESTRAAT,41,,,A,Antwerpen,2018,gelijkvloers,gebouw,2021/09/21 00:00:00+00,opname,37.1474944638693,75.6890915809457"
"Breydelstraat 10, 2018 Antwerpen",BREYDELSTRAAT,10,,,A,Antwerpen,2018,1,1,74854,35300,volledig pand,woning,woning:1,opname,opname:1,2022/05/18 00:00:00+00,2022/05/18 00:00:00+00,2022/05/18 00:00:00+00,39.9782607911512,75.5532128415018,,"74854,35300,BREYDELSTRAAT,10,,,A,Antwerpen,2018,volledig pand,woning,2022/05/18 00:00:00+00,opname,39.9782607911512,75.5532128415018"
